"first_name","last_name","hire_date"
"Kerhong","Adachi","1986-02-20"
"Hironoby","Adachi","1986-12-21"
"Billur","Adachi","1986-09-21"
"Zhaofang","Adachi","1986-11-09"
"Richard","Adachi","1986-07-29"
"Changho","Adachi","1986-09-09"
"Houman","Adachi","1986-05-04"
"Yongmin","Adachi","1986-04-30"
"Serif","Adachi","1986-02-17"
"Jayesh","Adachi","1986-12-05"
"Radhia","Adachi","1986-12-19"
"Guoxiang","Adachi","1986-05-26"
"Kenroku","Adachi","1986-06-18"
"Masoud","Adachi","1986-08-05"
"Breannda","Adachi","1986-04-29"
"Berhard","Adachi","1986-04-14"
"Zhenhua","Adachi","1986-07-01"
"Giao","Adachi","1986-11-04"
"Marlo","Adachi","1986-05-24"
"Subhrajyoti","Adachi","1986-03-26"
"Lucien","Adachi","1986-09-25"
"Collette","Aingworth","1986-07-01"
"Kenton","Aingworth","1986-03-31"
"Navin","Aingworth","1986-05-19"
"Mohammad","Aingworth","1986-02-18"
"Wanqing","Aingworth","1986-11-28"
"Kazuhiko","Aingworth","1986-12-26"
"Mana","Aingworth","1986-04-26"
"Wilmer","Aingworth","1986-05-21"
"Roded","Aingworth","1986-11-21"
"Erzsebet","Aingworth","1986-02-20"
"Lech","Aingworth","1986-08-16"
"Lene","Aingworth","1986-08-31"
"Guiseppe","Aingworth","1986-07-16"
"Kiyokazu","Aingworth","1986-01-28"
"Shimshon","Aingworth","1986-04-13"
"Sajjad","Aingworth","1986-10-31"
"Phillip","Aingworth","1986-01-20"
"Foong","Aingworth","1986-03-19"
"Jiang","Aingworth","1986-07-12"
"Giap","Aingworth","1986-08-08"
"Sanjit","Akaboshi","1986-08-20"
"Mingsen","Akaboshi","1986-03-14"
"Yongmao","Akaboshi","1986-01-19"
"Fen","Akaboshi","1986-03-08"
"Jacqueline","Akaboshi","1986-07-27"
"Peternela","Akaboshi","1986-01-10"
"Parviz","Akaboshi","1986-09-22"
"Mooi","Akaboshi","1986-05-31"
"Mayuko","Akaboshi","1986-04-27"
"Bernice","Akaboshi","1986-12-30"
"Shir","Akaboshi","1986-09-14"
"TRUE","Akaboshi","1986-12-23"
"Akeel","Akaboshi","1986-07-06"
"Lidong","Akaboshi","1986-07-26"
"Nobuyoshi","Akaboshi","1986-06-01"
"Yurij","Akaboshi","1986-08-16"
"Takahiro","Akaboshi","1986-04-10"
"Margareta","Akaboshi","1986-04-09"
"Uta","Akaboshi","1986-05-30"
"Paris","Akaboshi","1986-04-07"
"Udaiprakash","Akaboshi","1986-02-11"
"Hinrich","Akaboshi","1986-04-02"
"Gill","Akaboshi","1986-01-29"
"Arve","Akaboshi","1986-01-31"
"Quingbo","Akaboshi","1986-11-15"
"Shuichi","Akaboshi","1986-11-04"
"Abdelkader","Akazan","1986-02-27"
"Padma","Akazan","1986-11-11"
"Martina","Akazan","1986-04-17"
"Torsten","Akazan","1986-10-15"
"Collette","Akazan","1986-05-14"
"Hyuckchul","Akazan","1986-10-20"
"Dietrich","Akazan","1986-01-17"
"Guiseppe","Akazan","1986-04-22"
"Radhakrishnan","Akazan","1986-01-17"
"Kensei","Akazan","1986-12-18"
"Youjian","Akazan","1986-05-02"
"Genta","Akazan","1986-12-07"
"Oksana","Akazan","1986-12-05"
"Serenella","Akazan","1986-03-03"
"Yonghong","Akazan","1986-07-14"
"Boaz","Akazan","1986-06-30"
"Jiann","Akazan","1986-01-27"
"Kannan","Akazan","1986-11-20"
"Niranjan","Akazan","1986-08-07"
"Xinyu","Akazan","1986-06-07"
"Magy","Akazan","1986-02-23"
"Ashish","Akazan","1986-08-28"
"Fumino","Akazan","1986-04-03"
"Shawna","Akazan","1986-02-21"
"Parviz","Akazan","1986-08-30"
"Tayeb","Akazan","1986-10-09"
"Vasilii","Akiyama","1986-07-16"
"Trygve","Akiyama","1986-12-04"
"Hidde","Akiyama","1986-02-15"
"Mingzeng","Akiyama","1986-12-14"
"Dmitry","Akiyama","1986-03-02"
"Vitaly","Akiyama","1986-05-24"
"Owen","Akiyama","1986-12-20"
"Utz","Akiyama","1986-09-23"
"Shahar","Akiyama","1986-07-19"
"Khalid","Akiyama","1986-01-31"
"Kwan","Akiyama","1986-06-21"
"Margareta","Akiyama","1986-07-13"
"Van","Akiyama","1986-08-22"
"Margo","Akiyama","1986-02-10"
"Mostafa","Akiyama","1986-12-16"
"Jianhao","Alameldin","1986-04-13"
"Danel","Alameldin","1986-07-07"
"Alain","Alameldin","1986-07-24"
"Shrikanth","Alameldin","1986-02-17"
"Nadjib","Alameldin","1986-11-16"
"Teruyuki","Alameldin","1986-11-21"
"Yongqiao","Alameldin","1986-10-29"
"Tesuya","Alameldin","1986-09-26"
"Shooichi","Alameldin","1986-02-13"
"Jacopo","Alameldin","1986-07-18"
"Alagu","Alameldin","1986-09-05"
"Yahiko","Alameldin","1986-09-26"
"Jingling","Alameldin","1986-12-20"
"Qiwen","Alameldin","1986-11-14"
"Lorien","Alameldin","1986-09-27"
"Weicheng","Alameldin","1986-04-09"
"Mitchel","Alameldin","1986-03-31"
"Kirk","Alameldin","1986-11-26"
"Vishu","Alameldin","1986-12-25"
"Sampalli","Alameldin","1986-02-03"
"Edwin","Alameldin","1986-11-02"
"Parke","Albarhamtoshy","1986-12-25"
"Anoosh","Albarhamtoshy","1986-10-03"
"Roselyn","Albarhamtoshy","1986-01-18"
"Masali","Albarhamtoshy","1986-06-13"
"Junsik","Albarhamtoshy","1986-04-08"
"Charlene","Albarhamtoshy","1986-12-18"
"Richard","Albarhamtoshy","1986-10-28"
"Shmuel","Albarhamtoshy","1986-03-02"
"Marl","Albarhamtoshy","1986-06-10"
"Badri","Albarhamtoshy","1986-11-28"
"Samphel","Albarhamtoshy","1986-09-05"
"Sadegh","Albarhamtoshy","1986-07-16"
"Huei","Albarhamtoshy","1986-01-18"
"Gift","Albarhamtoshy","1986-02-11"
"Teiji","Albarhamtoshy","1986-06-27"
"Xiahua","Albarhamtoshy","1986-07-15"
"Poornachandra","Albarhamtoshy","1986-12-16"
"Yannis","Albarhamtoshy","1986-07-04"
"Yucai","Albarhamtoshy","1986-12-27"
"Ymte","Albarhamtoshy","1986-10-27"
"Radhakrishnan","Albarhamtoshy","1986-05-07"
"Subhada","Albarhamtoshy","1986-02-23"
"Hisao","Alblas","1986-01-14"
"Shir","Alblas","1986-05-10"
"Miyeon","Alblas","1986-02-07"
"Shan","Alblas","1986-09-06"
"Serge","Alblas","1986-03-06"
"Deborah","Alblas","1986-02-10"
"Joydip","Alblas","1986-11-24"
"Randi","Alblas","1986-09-19"
"Mingsen","Alblas","1986-11-16"
"Xiaobin","Alblas","1986-12-31"
"Jacopo","Alblas","1986-11-08"
"Elvia","Alblas","1986-12-03"
"Constantino","Alblas","1986-07-17"
"Miomir","Alblas","1986-12-10"
"Nigel","Alblas","1986-10-09"
"Sangeeta","Alblas","1986-10-24"
"Tsuneo","Alblas","1986-05-12"
"Boriana","Alblas","1986-06-25"
"Wilmer","Alblas","1986-12-14"
"Beshir","Alblas","1986-03-11"
"Gina","Alblas","1986-12-30"
"Jaber","Alblas","1986-11-02"
"Tayeb","Alblas","1986-06-28"
"Valeri","Alblas","1986-11-13"
"Reuven","Alblas","1986-02-04"
"Chenxi","Alblas","1986-01-29"
"Ger","Alblas","1986-10-16"
"Houman","Alblas","1986-02-20"
"Shimshon","Alencar","1986-06-23"
"Yonghoan","Alencar","1986-03-22"
"Xianlong","Alencar","1986-03-14"
"Kwangyoen","Alencar","1986-07-29"
"Valeri","Alencar","1986-10-21"
"Weidon","Alencar","1986-08-17"
"Gio","Alencar","1986-04-16"
"Guangming","Alencar","1986-11-28"
"Ekawit","Alencar","1986-05-13"
"Laurentiu","Alencar","1986-12-25"
"Muzhong","Alencar","1986-06-12"
"Arlette","Aloia","1986-11-26"
"Shuzo","Aloia","1986-05-20"
"Paloma","Aloia","1986-01-30"
"Fen","Aloia","1986-08-18"
"Yahiko","Aloia","1986-07-25"
"Edwin","Aloia","1986-07-05"
"Conal","Aloia","1986-02-02"
"Genki","Aloia","1986-12-14"
"Greger","Aloia","1986-01-30"
"Baoqiu","Aloia","1986-07-29"
"Fumiya","Aloia","1986-10-20"
"Rosella","Aloia","1986-01-03"
"Kiyokazu","Aloia","1986-05-25"
"Kwangsub","Aloia","1986-04-03"
"Doohun","Aloia","1986-11-28"
"Shem","Aloia","1986-03-31"
"Macha","Aloia","1986-08-30"
"Kristine","Aloia","1986-07-22"
"Kwan","Aloia","1986-12-04"
"Berna","Aloia","1986-03-21"
"Jahangir","Aloisi","1986-10-19"
"Hatsukazu","Aloisi","1986-02-20"
"Younwoo","Aloisi","1986-11-12"
"Shrikanth","Aloisi","1986-05-14"
"Frazer","Aloisi","1986-03-14"
"Xuedong","Aloisi","1986-08-31"
"Reuven","Aloisi","1986-07-26"
"Bartek","Aloisi","1986-07-20"
"Kayoko","Aloisi","1986-02-08"
"Chaitali","Aloisi","1986-08-08"
"Goetz","Aloisi","1986-11-08"
"Atreyi","Aloisi","1986-07-23"
"Jouni","Aloisi","1986-01-12"
"Yannis","Aloisi","1986-11-07"
"Kristinn","Aloisi","1986-05-29"
"Jessie","Aloisi","1986-07-16"
"Nidapan","Aloisi","1986-10-08"
"Poorav","Aloisi","1986-06-14"
"Tristan","Aloisi","1986-02-15"
"Mostafa","Aloisi","1986-02-13"
"Rajmohan","Aloisi","1986-01-23"
"Filipp","Aloisi","1986-10-14"
"Boalin","Alpay","1986-10-17"
"Fai","Alpay","1986-07-16"
"Kazuhisa","Alpay","1986-05-04"
"Arnould","Alpay","1986-07-06"
"Mokhtar","Alpay","1986-03-28"
"Leah","Alpay","1986-01-03"
"Tru","Alpay","1986-11-20"
"Tiina","Alpay","1986-07-25"
"Xudong","Alpay","1986-09-28"
"Boaz","Alpay","1986-09-27"
"Martien","Alpay","1986-11-08"
"Yuuichi","Alpay","1986-12-06"
"Gianluca","Alpay","1986-08-01"
"Arie","Alpay","1986-11-23"
"Berry","Alpay","1986-12-29"
"Chenye","Alpay","1986-06-06"
"Izaskun","Alpay","1986-01-08"
"Sreekrishna","Alpay","1986-11-03"
"Dulce","Alpay","1986-11-07"
"Brendon","Alpay","1986-04-05"
"Guadalupe","Alpay","1986-07-19"
"Kristian","Alpay","1986-06-02"
"IEEE","Alpin","1986-09-10"
"Mohan","Alpin","1986-08-05"
"Demin","Alpin","1986-03-01"
"Shigehito","Alpin","1986-05-04"
"Sanjay","Alpin","1986-05-25"
"Krister","Alpin","1986-11-03"
"Khosrow","Alpin","1986-10-28"
"Nevio","Alpin","1986-07-24"
"Temple","Alpin","1986-08-31"
"Ronghao","Alpin","1986-06-03"
"Aiichiro","Alpin","1986-03-03"
"Jessie","Alpin","1986-01-03"
"Qiwen","Alpin","1986-01-16"
"Kwok","Alpin","1986-11-15"
"Khatoun","Alpin","1986-11-06"
"Vasiliy","Alpin","1986-07-05"
"Almudena","Alpin","1986-11-20"
"Shahar","Alpin","1986-02-20"
"Heejo","Alpin","1986-06-13"
"Mechthild","Alpin","1986-01-26"
"Mingzeng","Alpin","1986-09-01"
"Hausi","Alvarado","1986-12-18"
"Arun","Alvarado","1986-08-16"
"Zhenbing","Alvarado","1986-02-19"
"Falguni","Alvarado","1986-12-13"
"Yuqun","Alvarado","1986-11-12"
"Mara","Alvarado","1986-02-21"
"Geraldo","Alvarado","1986-07-07"
"Mihalis","Alvarado","1986-06-08"
"Mahmut","Alvarado","1986-12-26"
"Sahrah","Alvarado","1986-09-03"
"Sangeeta","Alvarado","1986-01-21"
"Jiafu","Alvarado","1986-03-30"
"Mansur","Alvarado","1986-03-20"
"Pascal","Alvarado","1986-02-28"
"Bowen","Alvarado","1986-10-30"
"Adit","Alvarado","1986-11-12"
"Jagoda","Alvarado","1986-12-01"
"Fun","Alvarado","1986-08-05"
"Arie","Alvarado","1986-03-09"
"Tristan","Alvarado","1986-05-13"
"Uwe","Alvarado","1986-07-17"
"Isaac","Alvarado","1986-12-02"
"Aloys","Alvarado","1986-06-23"
"Hironoby","Alvarado","1986-10-03"
"Youngkon","Alvarado","1986-06-02"
"Geoffry","Alvarado","1986-05-10"
"Xuejun","Alvarado","1986-10-17"
"Guozhong","Alvarado","1986-11-16"
"Kwangsub","Alvarado","1986-12-15"
"Khun","Ambroszkiewicz","1986-12-18"
"Mingzeng","Ambroszkiewicz","1986-12-25"
"Aluzio","Ambroszkiewicz","1986-04-24"
"Jiafu","Ambroszkiewicz","1986-11-05"
"Yahiko","Ambroszkiewicz","1986-12-15"
"Masako","Ambroszkiewicz","1986-07-07"
"Sadun","Ambroszkiewicz","1986-02-20"
"Kazuhide","Ambroszkiewicz","1986-05-07"
"Isamu","Ambroszkiewicz","1986-11-05"
"Falguni","Ambroszkiewicz","1986-11-29"
"Tze","Ambroszkiewicz","1986-05-27"
"Marsha","Ambroszkiewicz","1986-06-20"
"Kien","Ambroszkiewicz","1986-04-10"
"Jayson","Ambroszkiewicz","1986-02-08"
"Geoffry","Ambroszkiewicz","1986-06-09"
"Goo","Ambroszkiewicz","1986-05-18"
"Dekang","Ambroszkiewicz","1986-12-09"
"Yishay","Ambroszkiewicz","1986-10-13"
"Gaetan","Ambroszkiewicz","1986-02-07"
"Tesuya","Ambroszkiewicz","1986-08-05"
"Leif","Ambroszkiewicz","1986-04-04"
"Gita","Anandan","1986-02-01"
"Sreekrishna","Anandan","1986-10-25"
"Sergi","Anandan","1986-09-17"
"Berto","Anandan","1986-05-21"
"Larisa","Anandan","1986-05-20"
"Ghassan","Anandan","1986-10-06"
"Khue","Anandan","1986-10-29"
"Mara","Anandan","1986-10-27"
"Zejun","Anandan","1986-03-19"
"Zorica","Anandan","1986-07-22"
"Bluma","Anandan","1986-11-24"
"Babette","Anandan","1986-11-22"
"Adhemar","Anandan","1986-08-20"
"Leandro","Anandan","1986-01-27"
"Kokou","Anandan","1986-10-25"
"Snehasis","Anandan","1986-11-02"
"Chikara","Anandan","1986-02-22"
"Tuval","Anandan","1986-01-08"
"Roded","Anandan","1986-09-09"
"Chikako","Anandan","1986-05-15"
"Anneli","Anandan","1986-01-28"
"Krassimir","Anandan","1986-06-28"
"Doohun","Anandan","1986-09-26"
"Mohd","Anandan","1986-01-16"
"Sanjiv","Anandan","1986-11-14"
"Zhenbing","Anandan","1986-10-09"
"Aimee","Anandan","1986-09-03"
"Guadalupe","Anandan","1986-10-18"
"Gaurav","Anandan","1986-12-25"
"Gio","Anandan","1986-01-19"
"Oldrich","Anandan","1986-02-04"
"Dinkar","Ananiadou","1986-09-20"
"Yongdong","Ananiadou","1986-03-21"
"Yoshimitsu","Ananiadou","1986-04-26"
"Bartek","Ananiadou","1986-07-24"
"Bedir","Ananiadou","1986-08-27"
"Jaana","Ananiadou","1986-09-17"
"Ohad","Ananiadou","1986-10-10"
"Fei","Ananiadou","1986-12-27"
"Subhankar","Ananiadou","1986-09-24"
"Masamitsu","Ananiadou","1986-11-24"
"Arco","Ananiadou","1986-02-16"
"Greger","Ananiadou","1986-06-30"
"Babette","Ananiadou","1986-03-03"
"Chikara","Ananiadou","1986-04-10"
"Mabhin","Ananiadou","1986-05-06"
"Sampalli","Ananiadou","1986-09-13"
"Ziva","Ananiadou","1986-10-09"
"Nechama","Ananiadou","1986-04-14"
"Yifei","Ananiadou","1986-03-27"
"Uta","Andreotta","1986-01-14"
"Younwoo","Andreotta","1986-05-03"
"Jaana","Andreotta","1986-06-26"
"Hatsukazu","Andreotta","1986-11-10"
"Alain","Andreotta","1986-06-16"
"Vasilis","Andreotta","1986-06-26"
"Jahangir","Andreotta","1986-09-02"
"Vesna","Andreotta","1986-09-14"
"Falguni","Andreotta","1986-08-08"
"Fumino","Andreotta","1986-10-08"
"Gino","Andreotta","1986-11-28"
"Yurij","Andreotta","1986-03-19"
"Peer","Andreotta","1986-04-02"
"Lucian","Andreotta","1986-12-15"
"Alain","Andreotta","1986-04-24"
"Sedat","Andreotta","1986-01-17"
"Aluzio","Andreotta","1986-04-24"
"Jaroslava","Andreotta","1986-04-13"
"Subhash","Androutsos","1986-07-05"
"Sreekrishna","Androutsos","1986-11-10"
"Bojan","Androutsos","1986-12-28"
"Mong","Androutsos","1986-05-17"
"Bouchung","Androutsos","1986-03-24"
"Hugh","Androutsos","1986-09-21"
"Munenori","Androutsos","1986-12-13"
"Mahmut","Androutsos","1986-04-05"
"Hidefumi","Androutsos","1986-07-31"
"Mohd","Androutsos","1986-12-17"
"Yunming","Androutsos","1986-01-22"
"Satyanarayana","Androutsos","1986-07-19"
"Lobel","Androutsos","1986-08-17"
"Djelloul","Androutsos","1986-01-15"
"Toshimitsu","Androutsos","1986-02-04"
"Arunachalam","Androutsos","1986-02-12"
"Nishit","Angel","1986-08-08"
"Hugh","Angel","1986-04-25"
"Sukumar","Angel","1986-03-23"
"Syozo","Angel","1986-05-04"
"Toshiki","Angel","1986-09-13"
"Hinrich","Angel","1986-11-05"
"Shigenori","Angel","1986-05-31"
"Margareta","Angel","1986-12-31"
"Tiina","Angel","1986-02-10"
"Martijn","Angel","1986-01-29"
"Lansing","Angel","1986-01-31"
"Aral","Angelopoulos","1986-08-04"
"Prasadram","Angelopoulos","1986-10-19"
"Munehiro","Angelopoulos","1986-04-07"
"Fumiko","Angelopoulos","1986-03-05"
"Radoslaw","Angelopoulos","1986-11-17"
"Sangeeta","Angelopoulos","1986-08-15"
"Mantis","Angelopoulos","1986-04-14"
"Subhrajyoti","Angelopoulos","1986-08-23"
"Bikash","Angelopoulos","1986-05-30"
"Wuxu","Angelopoulos","1986-09-03"
"Oguz","Angelopoulos","1986-11-29"
"Idoia","Angelopoulos","1986-09-24"
"Baruch","Angelopoulos","1986-10-10"
"Denis","Angelopoulos","1986-11-02"
"Tiina","Angelopoulos","1986-01-16"
"Manu","Angelopoulos","1986-11-05"
"Nimmagadda","Angelopoulos","1986-10-09"
"Arumugam","Angelopoulos","1986-12-20"
"Nadjib","Angelopoulos","1986-08-15"
"Marke","Angelopoulos","1986-11-18"
"Xuejun","Angelopoulos","1986-04-10"
"Panayotis","Angelopoulos","1986-03-24"
"Ravishankar","Angelopoulos","1986-10-18"
"Hairong","Angelopoulos","1986-11-01"
"Gritta","Angelopoulos","1986-09-06"
"Sreenivas","Angelov","1986-07-31"
"Kokou","Angelov","1986-09-09"
"Fei","Angelov","1986-06-28"
"Jianhui","Angelov","1986-04-14"
"Radhakrishnan","Angelov","1986-01-27"
"Jiang","Angelov","1986-12-12"
"Rasikan","Angelov","1986-08-08"
"Paddy","Angelov","1986-09-10"
"Kiyomitsu","Angelov","1986-04-24"
"Mayuri","Angelov","1986-05-02"
"Guadalupe","Angelov","1986-07-11"
"Chandrasekaran","Angelov","1986-05-14"
"Teruyuki","Angelov","1986-11-08"
"Sugwoo","Angelov","1986-03-13"
"Weiru","Angelov","1986-06-12"
"Tsutomu","Angelov","1986-10-03"
"Yakkov","Angelov","1986-06-30"
"Jasminko","Angelov","1986-09-08"
"Ziyad","Angelov","1986-08-06"
"Yoshimitsu","Angelov","1986-04-09"
"Vatsa","Angelov","1986-07-14"
"Tokuyasu","Angelov","1986-11-16"
"Yurij","Angelov","1986-12-09"
"Elrique","Angelov","1986-01-30"
"Marke","Angelov","1986-08-15"
"Mart","Angelov","1986-06-25"
"Jinya","Angelov","1986-04-23"
"Kamran","Anger","1986-11-15"
"Gita","Anger","1986-09-21"
"Saeko","Anger","1986-11-18"
"Temple","Anger","1986-12-06"
"Naftali","Anger","1986-04-16"
"Gonzalo","Anger","1986-02-12"
"Xiaoqiang","Anger","1986-11-12"
"Mart","Anger","1986-11-11"
"Marek","Anger","1986-08-28"
"Seshu","Anger","1986-07-01"
"Xiadong","Anger","1986-09-07"
"Woody","Anger","1986-07-05"
"Dekang","Anger","1986-02-09"
"Eckart","Anger","1986-05-13"
"Ewing","Anger","1986-05-25"
"Manibrata","Anger","1986-04-21"
"Shmuel","Anger","1986-01-27"
"Wilmer","Anger","1986-01-14"
"Jacqueline","Angiulli","1986-05-14"
"Valeska","Angiulli","1986-06-01"
"Zhenhua","Angiulli","1986-03-31"
"Gennady","Angiulli","1986-10-14"
"Kaijung","Angiulli","1986-12-23"
"Jinpo","Angiulli","1986-09-05"
"Uma","Angiulli","1986-02-20"
"Martins","Angiulli","1986-07-05"
"Yurii","Angiulli","1986-11-21"
"Mary","Angiulli","1986-01-23"
"Murthy","Angiulli","1986-08-02"
"Kwangjo","Angiulli","1986-09-20"
"Giao","Angiulli","1986-09-16"
"Arto","Angiulli","1986-05-05"
"Arne","Angiulli","1986-02-20"
"Paddy","Angiulli","1986-09-02"
"Nechama","Angiulli","1986-07-20"
"Jackson","Angiulli","1986-01-08"
"Shigehiro","Angot","1986-07-31"
"Xinyu","Angot","1986-06-25"
"Kagan","Angot","1986-03-15"
"Junsik","Angot","1986-04-24"
"Shahar","Angot","1986-06-23"
"Jaana","Angot","1986-04-26"
"Gila","Angot","1986-01-23"
"Tze","Angot","1986-07-03"
"Ymte","Angot","1986-06-18"
"Djenana","Angot","1986-04-29"
"Angel","Angot","1986-06-06"
"Shaowei","Angot","1986-11-19"
"Percy","Angot","1986-08-21"
"Tru","Angot","1986-10-18"
"Parto","Angot","1986-07-25"
"Abdulla","Angot","1986-05-05"
"Yoshimitsu","Angot","1986-11-18"
"Rasiah","Angot","1986-02-08"
"Paris","Angot","1986-09-28"
"Genki","Angot","1986-09-08"
"Kerhong","Angot","1986-03-27"
"Kazuhira","Angot","1986-01-10"
"Marlo","Anguita","1986-09-03"
"Moto","Anguita","1986-10-11"
"Deborah","Anguita","1986-12-31"
"Babette","Anguita","1986-03-18"
"Ranan","Anguita","1986-11-10"
"Munir","Anguita","1986-10-19"
"Valery","Anguita","1986-10-01"
"Lucien","Anguita","1986-11-29"
"Sreenivas","Anguita","1986-04-07"
"Hidekazu","Anguita","1986-02-25"
"Elzbieta","Anguita","1986-03-30"
"Kitty","Anguita","1986-06-14"
"Raimond","Anguita","1986-06-20"
"Nikolaus","Anguita","1986-04-30"
"Kotesh","Anguita","1986-12-30"
"Guenter","Anguita","1986-07-11"
"Jingling","Anguita","1986-05-17"
"Greger","Anguita","1986-12-24"
"Dung","Anguita","1986-05-19"
"Leah","Anguita","1986-04-07"
"Christophe","Anguita","1986-09-15"
"Chuanyi","Anick","1986-03-08"
"Shem","Anick","1986-02-04"
"Hilary","Anick","1986-11-14"
"Martina","Anick","1986-08-12"
"Morrie","Anick","1986-01-25"
"Paddy","Anick","1986-02-10"
"Ashish","Anick","1986-11-11"
"Mang","Anick","1986-11-10"
"Marek","Anick","1986-01-29"
"Fatemeh","Anick","1986-10-17"
"Yahiko","Anick","1986-04-03"
"Shigeo","Anick","1986-12-02"
"Danai","Anick","1986-06-25"
"Fumiyo","Anick","1986-04-18"
"Feiyu","Anick","1986-05-23"
"Heping","Anick","1986-02-17"
"Chuanti","Anick","1986-08-27"
"Ipke","Anick","1986-08-16"
"Demin","Anick","1986-01-18"
"Suzette","Anick","1986-02-11"
"Souichi","Anick","1986-04-21"
"Subhash","Anick","1986-09-02"
"Vojin","Anick","1986-09-04"
"Uli","Anick","1986-02-18"
"Arco","Anick","1986-09-10"
"Munehiko","Anick","1986-02-21"
"Alois","Anick","1986-03-14"
"Lene","Anick","1986-04-07"
"Odysseas","Anick","1986-04-04"
"Heping","Anick","1986-07-16"
"Emran","Anick","1986-08-31"
"Boalin","Anick","1986-11-21"
"Mariusz","Anick","1986-07-03"
"Siddarth","Anick","1986-06-26"
"Cordelia","Anido","1986-09-08"
"Constantijn","Anido","1986-06-11"
"Muneo","Anido","1986-06-27"
"Goetz","Anido","1986-10-26"
"Mona","Anido","1986-02-20"
"Szabolcs","Anido","1986-11-15"
"Karlis","Anido","1986-05-12"
"Toney","Anido","1986-07-16"
"Prasadram","Anido","1986-12-13"
"Jaewoo","Anido","1986-10-03"
"Halsur","Anido","1986-08-07"
"Hironobu","Anido","1986-06-12"
"Kwok","Anido","1986-02-14"
"Turgut","Anido","1986-03-14"
"Lech","Anido","1986-12-07"
"Ortrud","Anido","1986-01-29"
"Sibyl","Anido","1986-12-06"
"Jacqueline","Anido","1986-08-24"
"Tze","Anido","1986-02-25"
"Jackson","Anily","1986-09-05"
"Junsik","Anily","1986-08-01"
"Rimli","Anily","1986-07-21"
"Bernt","Anily","1986-06-08"
"Greger","Anily","1986-03-08"
"Khoa","Anily","1986-05-14"
"Huiqun","Anily","1986-07-14"
"Snehasis","Anily","1986-03-03"
"Mooi","Anily","1986-02-02"
"Tetsushi","Anily","1986-11-26"
"Zhonghui","Anily","1986-03-20"
"Bartek","Anily","1986-11-14"
"Mohd","Anily","1986-08-21"
"Ranga","Anily","1986-11-10"
"Yurij","Anily","1986-06-27"
"Yunming","Anily","1986-03-05"
"Yonghoan","Anily","1986-01-07"
"Pantung","Anily","1986-01-11"
"Nathan","Antonakopoulos","1986-11-27"
"Zhenbing","Antonakopoulos","1986-04-11"
"Paraskevi","Antonakopoulos","1986-03-23"
"Masaru","Antonakopoulos","1986-09-24"
"Phule","Antonakopoulos","1986-03-22"
"Dipayan","Antonakopoulos","1986-06-06"
"Frederique","Antonakopoulos","1986-05-06"
"Jackson","Antonakopoulos","1986-04-27"
"Giap","Antonakopoulos","1986-07-27"
"Make","Antonakopoulos","1986-09-21"
"Odoardo","Antonakopoulos","1986-05-08"
"Tsvetan","Antonakopoulos","1986-01-22"
"Fumitaka","Antonakopoulos","1986-11-13"
"Taizo","Antonakopoulos","1986-02-17"
"Pramod","Antonakopoulos","1986-06-08"
"Ramalingam","Antonakopoulos","1986-08-22"
"Mansur","Antonakopoulos","1986-09-19"
"Debaprosad","Antonakopoulos","1986-09-16"
"Chaoyi","Antonakopoulos","1986-12-24"
"Breannda","Antonakopoulos","1986-12-11"
